시도명,시군구명,대형폐기물명,대형폐기물구분명,대형폐기물규격,유무료여부,수수료,관리기관명,데이터기준일자
경상남도,김해시,냉장고,가전제품류,500ℓ 이상,유료,10000,경상남도 김해시청,2025-07-28
경상남도,김해시,냉장고,가전제품류,300ℓ 이상,유료,8000,경상남도 김해시청,2025-07-28
경상남도,김해시,냉장고,가전제품류,300ℓ 미만,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,냉장고,가전제품류,100ℓ 미만,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,텔레비전,가전제품류,30인치 이상,유료,7000,경상남도 김해시청,2025-07-28
경상남도,김해시,텔레비전,가전제품류,30인치 미만,유료,4000,경상남도 김해시청,2025-07-28
경상남도,김해시,텔레비전,가전제품류,14인치 미만,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,세탁기,가전제품류,8㎏ 이상,유료,7000,경상남도 김해시청,2025-07-28
경상남도,김해시,세탁기,가전제품류,8㎏ 미만,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,에어컨(온풍기능 포함),가전제품류,1.0㎡ 이상,유료,10000,경상남도 김해시청,2025-07-28
경상남도,김해시,에어컨(온풍기능 포함),가전제품류,1.0㎡ 미만,유료,7000,경상남도 김해시청,2025-07-28
경상남도,김해시,에어컨(온풍기능 포함),가전제품류,0.5㎡ 미만,유료,4000,경상남도 김해시청,2025-07-28
경상남도,김해시,에어컨(온풍기능 포함),가전제품류,실외기,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,가스오븐레인지,가전제품류,높이 1m 이상,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,가스오븐레인지,가전제품류,높이 1m 미만,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,전자레인지,가전제품류,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,가스레인지,가전제품류,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,공기청정기(가습기),가전제품류,높이 1m 이상,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,공기청정기(가습기),가전제품류,높이 1m 미만,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,자동판매기,기타,가로 1m 이상,유료,15000,경상남도 김해시청,2025-07-28
경상남도,김해시,자동판매기,기타,가로 1m 미만,유료,10000,경상남도 김해시청,2025-07-28
경상남도,김해시,탈수기,가전제품류,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,전축(오디오),가전제품류,폭 1m 이상,유료,8000,경상남도 김해시청,2025-07-28
경상남도,김해시,전축(오디오),가전제품류,폭 1m 미만,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,전축스피커,가전제품류,높이 90cm 이상,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,전축스피커,가전제품류,높이 90cm 미만,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,전축스피커,가전제품류,높이 30cm 미만,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,카세트,가전제품류,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,컴퓨터,가전제품류,본체,유료,4000,경상남도 김해시청,2025-07-28
경상남도,김해시,컴퓨터,가전제품류,모니터,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,팩시밀리,가전제품류,모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,프린트기,가전제품류,업체용 대형 외 모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,프린트기,가전제품류,업체용 대형,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,복사기,가전제품류,모든 규격,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,선풍기,가전제품류,모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,비디오,가전제품류,모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,청소기,가전제품류,가정용(모든 규격),유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,청소기,가전제품류,업소용(모든 규격),유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,전기밥솥,가전제품류,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,식기세척기,가전제품류,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,식기건조기,가전제품류,업소용 외 모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,식기건조기,가전제품류,업소용,유료,8000,경상남도 김해시청,2025-07-28
경상남도,김해시,정수기,가전제품류,모든 규격,유료,4000,경상남도 김해시청,2025-07-28
경상남도,김해시,전기난로,가전제품류,모든 규격,유료,4000,경상남도 김해시청,2025-07-28
경상남도,김해시,오락기,기타,대형,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,오락기,기타,소형,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,침대,가구류,2인용(일반),유료,15000,경상남도 김해시청,2025-07-28
경상남도,김해시,침대,가구류,1인용(일반),유료,11000,경상남도 김해시청,2025-07-28
경상남도,김해시,침대,가구류,2인용(돌+흙침대),유료,20000,경상남도 김해시청,2025-07-28
경상남도,김해시,침대,가구류,1인용(돌+흙침대),유료,15000,경상남도 김해시청,2025-07-28
경상남도,김해시,침대,가구류,2인용(수납식),유료,20000,경상남도 김해시청,2025-07-28
경상남도,김해시,침대,가구류,1인용(수납식),유료,15000,경상남도 김해시청,2025-07-28
경상남도,김해시,침대,가구류,2층 침대,유료,20000,경상남도 김해시청,2025-07-28
경상남도,김해시,침대 받침대,가구류,2인용,유료,8000,경상남도 김해시청,2025-07-28
경상남도,김해시,침대 받침대,가구류,1인용,유료,6000,경상남도 김해시청,2025-07-28
경상남도,김해시,침대 받침대,가구류,2인용(수납식),유료,13000,경상남도 김해시청,2025-07-28
경상남도,김해시,침대 받침대,가구류,1인용(수납식),유료,10000,경상남도 김해시청,2025-07-28
경상남도,김해시,침대 받침대,가구류,2층 침대,유료,10000,경상남도 김해시청,2025-07-28
경상남도,김해시,매트리스(라텍스+폼+접이식),생활용품류,2인용,유료,7000,경상남도 김해시청,2025-07-28
경상남도,김해시,매트리스(라텍스+폼+접이식),생활용품류,1인용,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,매트리스(라텍스+폼+접이식),생활용품류,유아매트리스(매트),유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,소파(분리가능형은 각각 수수),가구류,3인용 이상,유료,9000,경상남도 김해시청,2025-07-28
경상남도,김해시,소파(분리가능형은 각각 수수),가구류,2인용,유료,7000,경상남도 김해시청,2025-07-28
경상남도,김해시,소파(분리가능형은 각각 수수),가구류,1인용,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,소파(분리가능형은 각각 수수),가구류,카우치,유료,6000,경상남도 김해시청,2025-07-28
경상남도,김해시,소파(분리가능형은 각각 수수),가구류,스툴+코너,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,소파(분리가능형은 각각 수수),가구류,돌소파,유료,12000,경상남도 김해시청,2025-07-28
경상남도,김해시,장롱,가구류,가로 120㎝ 이상 1쪽당,유료,15000,경상남도 김해시청,2025-07-28
경상남도,김해시,장롱,가구류,가로 120㎝ 미만 1쪽당,유료,12000,경상남도 김해시청,2025-07-28
경상남도,김해시,장롱,가구류,가로 70㎝ 미만 1쪽당,유료,7000,경상남도 김해시청,2025-07-28
경상남도,김해시,서랍장,가구류,1단당,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,신발장,가구류,가로 1m 이상,유료,8000,경상남도 김해시청,2025-07-28
경상남도,김해시,신발장,가구류,가로 1m 미만,유료,6000,경상남도 김해시청,2025-07-28
경상남도,김해시,진열장(장식장+책장+찬장),가구류,가로 90㎝ 이상,유료,10000,경상남도 김해시청,2025-07-28
경상남도,김해시,진열장(장식장+책장+찬장),가구류,가로 90㎝ 미만,유료,7000,경상남도 김해시청,2025-07-28
경상남도,김해시,문갑,가구류,1쪽당,유료,4000,경상남도 김해시청,2025-07-28
경상남도,김해시,화장대,가구류,가로 90㎝ 이상,유료,7000,경상남도 김해시청,2025-07-28
경상남도,김해시,화장대,가구류,가로 90㎝ 미만,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,책상,가구류,책상+책장세트,유료,10000,경상남도 김해시청,2025-07-28
경상남도,김해시,책상,가구류,가로 120㎝ 이상,유료,7000,경상남도 김해시청,2025-07-28
경상남도,김해시,책상,가구류,가로 120㎝ 미만,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,의자,가구류,사무용,유료,4000,경상남도 김해시청,2025-07-28
경상남도,김해시,의자,가구류,편의용(안락+흔들+식탁),유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,의자,가구류,보조+간이,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,상,생활용품류,4인용 이상,유료,4000,경상남도 김해시청,2025-07-28
경상남도,김해시,상,생활용품류,4인용 미만,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,싱크대,기타,1쪽당,유료,7000,경상남도 김해시청,2025-07-28
경상남도,김해시,싱크대장,기타,1쪽당,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,옷걸이,생활용품류,모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,식탁,가구류,4인용 이상(일반),유료,7000,경상남도 김해시청,2025-07-28
경상남도,김해시,식탁,가구류,4인용 미만(일반),유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,식탁,가구류,4인용 이상(돌),유료,10000,경상남도 김해시청,2025-07-28
경상남도,김해시,식탁,가구류,4인용 미만(돌),유료,7000,경상남도 김해시청,2025-07-28
경상남도,김해시,탁자,가구류,모든 규격,유료,4000,경상남도 김해시청,2025-07-28
경상남도,김해시,TV장식장(거실장),가구류,가로 90㎝ 이상,유료,10000,경상남도 김해시청,2025-07-28
경상남도,김해시,TV장식장(거실장),가구류,가로 90㎝ 미만,유료,7000,경상남도 김해시청,2025-07-28
경상남도,김해시,TV장식장(거실장),가구류,단순받침대,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,평상,생활용품류,1㎡당,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,합판,기타,4m×8m,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,합판,기타,3m×6m,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,캐비닛,기타,모든 규격,유료,6000,경상남도 김해시청,2025-07-28
경상남도,김해시,책꽂이(장식장 형태 외),생활용품류,길이가 긴쪽 1m 이상,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,책꽂이(장식장 형태 외),생활용품류,길이가 긴쪽 1m 미만,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,쌀통,생활용품류,모든 규격,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,거울(액자),생활용품류,1㎡ 이상,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,거울(액자),생활용품류,1㎡ 미만,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,가방,생활용품류,골프가방,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,가방,생활용품류,캐리어,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,가방,생활용품류,그 외,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,간판,기타,1㎡당,유료,4000,경상남도 김해시청,2025-07-28
경상남도,김해시,창틀,기타,1㎡ 이상,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,창틀,기타,1㎡ 미만,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,시계,생활용품류,대형 입식용,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,시계,생활용품류,벽걸이용,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,수족관,기타,가로 300㎝ 이상,유료,30000,경상남도 김해시청,2025-07-28
경상남도,김해시,수족관,기타,가로 200㎝ 이상,유료,20000,경상남도 김해시청,2025-07-28
경상남도,김해시,수족관,기타,가로 150㎝ 이상,유료,10000,경상남도 김해시청,2025-07-28
경상남도,김해시,수족관,기타,가로 120㎝이상,유료,8000,경상남도 김해시청,2025-07-28
경상남도,김해시,수족관,기타,가로 90㎝이상,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,수족관,기타,가로 90㎝미만,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,이불,생활용품류,솜이불,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,이불,생활용품류,홑이불,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,요(담요),생활용품류,모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,카펫,생활용품류,3.3㎡당,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,장판류,기타,3.3㎡당,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,병풍,기타,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,문짝,기타,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,재봉틀,생활용품류,모든 규격,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,피아노,기타,그랜드,유료,20000,경상남도 김해시청,2025-07-28
경상남도,김해시,피아노,기타,어프라이트,유료,13000,경상남도 김해시청,2025-07-28
경상남도,김해시,피아노,기타,전자피아노+풍금,유료,10000,경상남도 김해시청,2025-07-28
경상남도,김해시,피아노,기타,키보드(받침대 없음),유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,자전거,기타,성인용,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,자전거,기타,아동용,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,보일러,기타,기름(가스) 보일러,유료,8000,경상남도 김해시청,2025-07-28
경상남도,김해시,보일러,기타,연탄 보일러,유료,4000,경상남도 김해시청,2025-07-28
경상남도,김해시,기름탱크,기타,400리터이상,유료,6000,경상남도 김해시청,2025-07-28
경상남도,김해시,기름탱크,기타,400리터미만,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,가정용물탱크류(정화조),기타,용량 1톤당(1㎥),유료,8000,경상남도 김해시청,2025-07-28
경상남도,김해시,보행기,기타,모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,유모차,기타,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,세면대(양변기),기타,모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,욕조,기타,모든 규격,유료,8000,경상남도 김해시청,2025-07-28
경상남도,김해시,건조대,기타,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,형광등 기구,기타,길이 1m이상,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,형광등 기구,기타,길이 1m미만,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,항아리,기타,40리터이상,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,항아리,기타,7리터이상,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,항아리,기타,7리터미만,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,스티로폼,기타,100ℓ당,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,PVC배관류,기타,관경 200㎜이상×1m당,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,PVC배관류,기타,관경 200㎜미만×1m당,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,목재류,기타,100ℓ당,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,잡쓰레기,기타,100ℓ당,유료,4000,경상남도 김해시청,2025-07-28
경상남도,김해시,대자리,기타,길이가 긴쪽 1m당,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,전기매트(옥+황토+온수),생활용품류,모든 규격(일반전기장판(요) 제외),유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,전기매트(옥+황토+온수),생활용품류,일반전기장판(요),유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,화환,기타,모든 규격,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,전동안마의자,가전제품류,모든 규격,유료,10000,경상남도 김해시청,2025-07-28
경상남도,김해시,블라인더,기타,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,욕실 장식장,기타,모든 규격(유리 포함),유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,욕실 장식장,기타,모든 규격(유리 미포함),유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,실내조명등 기구,기타,장식용,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,실내조명등 기구,기타,일반,유료,1000,경상남도 김해시청,2025-07-28
경상남도,김해시,아이스박스,기타,모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,파티션,기타,가로 1m이상,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,파티션,기타,가로 1m미만,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,비데기,기타,모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,유아용 카시트,기타,모든 규격,유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,캣타워,기타,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,풍선간판,기타,모든 규격,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,소화기,기타,3.5㎏이하(약제 기준),유료,2000,경상남도 김해시청,2025-07-28
경상남도,김해시,소화기,기타,3.5㎏초과(약제 기준),유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,렌지대,기타,높이 120cm미만,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,렌지대,기타,높이 120cm이상(식탁부착형 포함),유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,온수기,기타,모든 규격,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,의료기,기타,일반,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,의료기,기타,받침대 포함,유료,10000,경상남도 김해시청,2025-07-28
경상남도,김해시,온장고,기타,높이 50cm미만,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,온장고,기타,높이 50cm이상 100cm미만,유료,5000,경상남도 김해시청,2025-07-28
경상남도,김해시,온장고,기타,높이 100cm이상,유료,8000,경상남도 김해시청,2025-07-28
경상남도,김해시,건축용판넬,기타,길이가 긴쪽 1m당,유료,3000,경상남도 김해시청,2025-07-28
경상남도,김해시,유리판,기타,2.5㎡당,유료,3000,경상남도 김해시청,2025-07-28
